date,pm10,pm2_5,carbon_monoxide,dust
2023-01-01 00:00:00+07:00,42.4,29.5,1935.0,0.0
2023-01-01 01:00:00+07:00,42.6,29.6,2030.0,0.0
2023-01-01 02:00:00+07:00,44.4,30.9,2072.0,0.0
2023-01-01 03:00:00+07:00,46.0,32.0,2092.0,0.0
2023-01-01 04:00:00+07:00,46.6,32.5,2149.0,0.0
2023-01-01 05:00:00+07:00,47.0,32.7,2308.0,0.0
2023-01-01 06:00:00+07:00,48.3,33.6,2512.0,0.0
2023-01-01 07:00:00+07:00,53.8,37.5,2398.0,0.0
2023-01-01 08:00:00+07:00,63.6,44.4,2030.0,0.0
2023-01-01 09:00:00+07:00,55.2,38.4,1507.0,0.0
2023-01-01 10:00:00+07:00,33.3,23.1,934.0,0.0
2023-01-01 11:00:00+07:00,27.1,18.7,747.0,0.0
2023-01-01 12:00:00+07:00,27.4,18.9,672.0,0.0
2023-01-01 13:00:00+07:00,27.3,18.8,616.0,0.0
2023-01-01 14:00:00+07:00,26.1,18.0,535.0,0.0
2023-01-01 15:00:00+07:00,24.5,16.9,465.0,0.0
2023-01-01 16:00:00+07:00,22.9,15.8,518.0,0.0
2023-01-01 17:00:00+07:00,22.8,15.7,743.0,0.0
2023-01-01 18:00:00+07:00,31.8,22.0,1079.0,0.0
2023-01-01 19:00:00+07:00,35.5,24.6,1518.0,0.0
2023-01-01 20:00:00+07:00,43.2,30.0,1789.0,0.0
2023-01-01 21:00:00+07:00,47.8,33.3,2174.0,0.0
2023-01-01 22:00:00+07:00,52.2,36.3,2586.0,0.0
2023-01-01 23:00:00+07:00,57.2,39.8,2717.0,0.0
2023-01-02 00:00:00+07:00,58.4,40.7,2763.0,0.0
2023-01-02 01:00:00+07:00,55.3,38.5,2737.0,0.0
2023-01-02 02:00:00+07:00,51.3,35.7,2631.0,0.0
2023-01-02 03:00:00+07:00,47.1,32.8,2461.0,0.0
2023-01-02 04:00:00+07:00,44.7,31.1,2303.0,0.0
2023-01-02 05:00:00+07:00,44.6,31.1,2340.0,0.0
2023-01-02 06:00:00+07:00,46.2,32.2,2445.0,0.0
2023-01-02 07:00:00+07:00,48.7,33.9,2376.0,0.0
2023-01-02 08:00:00+07:00,56.7,39.5,2145.0,0.0
